operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcSnbBiQuery19StrangerInteraction|1602918420005|1602919073949|26802|100|14
LdbcSnbBiQuery3TagEvolution|1602918420005|1602919100752|535|100|14
LdbcSnbBiQuery6ActivePosters|1602918420005|1602919101287|112|100|14
LdbcSnbBiQuery17FriendshipTriangles|1602918420005|1602919101400|6|1|14
LdbcSnbBiQuery22InternationalDialog|1602918420005|1602919101406|1302|39|14
LdbcSnbBiQuery17FriendshipTriangles|1602918420005|1602919102709|6|1|15
LdbcSnbBiQuery22InternationalDialog|1602918420005|1602919102715|1294|39|15
LdbcSnbBiQuery8RelatedTopics|1602918420005|1602919104010|97|100|15
LdbcSnbBiQuery23HolidayDestinations|1602918420005|1602919104107|47|100|15
LdbcSnbBiQuery20HighLevelTopics|1602918420005|1602919104155|1156|3|15
LdbcSnbBiQuery9RelatedForums|1602918420005|1602919105311|554|37|15
LdbcSnbBiQuery5TopCountryPosters|1602918420005|1602919105866|176|100|15
LdbcSnbBiQuery21Zombies|1602918420005|1602919106042|52|9|15
LdbcSnbBiQuery12TrendingPosts|1602918420005|1602919106095|1836|100|15
LdbcSnbBiQuery10TagPerson|1602918420005|1602919107931|95|100|15
LdbcSnbBiQuery25WeightedPaths|1602918420005|1602919108026|6831|5|15
LdbcSnbBiQuery24MessagesByTopic|1602918420005|1602919114858|635|100|15
LdbcSnbBiQuery11UnrelatedReplies|1602918420005|1602919115493|1200|100|15
LdbcSnbBiQuery15SocialNormals|1602918420005|1602919116693|2|4|15
